(72, '16', '2008', '2008Q16', 'mCiSzGAW4ws?start=0', 'complex-numbers'),
(73, '6', '2009', '2009Q6', 'W8wwby9T-CQ?start=0', 'complex-numbers'),
(74, '16', '2010', '2010Q16', 'muWDwtB6IF0?start=616', 'complex-numbers'),
(75, '10', '2011', '2011Q10', 'RvdPRAU_Irg?start=405', 'complex-numbers'),
(76, '16b', '2012', '2012Q16b', 'l2-da3M4umE?start=278', 'complex-numbers'),
(77, '3', '2012', '2012Q3', 'K4PVBmKqLqI?start=0', 'complex-numbers'),
(78, '10', '2013', '2013Q10', 'kP6C0X6u0dk?start=0', 'complex-numbers'),
(79, '7', '2013', '2013Q7', 'EU4JL7bZTvg?start=0', 'complex-numbers'),
(80, '16', '2014', '2014Q16', '25Wnxd5-rGA?start=0', 'complex-numbers'),
(83, '17', '2017', '2017Q17', 'J01EefAXzTE?start=0', 'complex-numbers'),
(84, '10', '2018', '2018Q10', 'Ncbg3M7X8os?start=0', 'complex-numbers'),
(85, '4', '2018', '2018Q4', '3v2fdRMfQog?start=0', 'complex-numbers'),
(86, '16', '2007', '2007Q16', 'eOUZqLLSx6g?start=0', 'functions-graphs'),
(87, '3', '2008', '2008Q3', 'V_yC3xqpCL8?start=0', 'functions-graphs'),
(88, '13', '2009', '2009Q13', 'W_jMHn73TBA?start=0', 'functions-graphs'),
(89, '10', '2010', '2010Q10', '7_6Z0RGzRtM?start=840', 'functions-graphs'),
(90, '6', '2011', '2011Q6', 'avhupPO6XlY?start=1117', 'functions-graphs'),
(91, '7', '2012', '2012Q7', 'vat834ndQtw?start=0', 'functions-graphs'),
(92, '13', '2013', '2013Q13', 'zbZMU9k5p20?start=0', 'functions-graphs'),
(93, '11', '2014', '2014Q11', 'BP6O0kOnUfs?start=0', 'functions-graphs'),
(94, '14', '2015', '2015Q14', 'kTLIybXvx7k?start=0', 'functions-graphs'),
(95, '12', '2016', '2016Q12', 'cMT14r1OXDg?start=0', 'functions-graphs'),
(96, '12', '2017', '2017Q12', 'nsJZL7J29eE?start=0', 'functions-graphs'),
(97, '4', '2007', '2007Q4', 'dSubWteGbqQ?start=0', 'further-integration'),
(98, '7', '2008', '2008Q7', 'ql1Bx0u0bk8?start=0', 'further-integration'),
(99, '9', '2009', '2009Q9', '8BbsLdxPwlI?start=0', 'further-integration'),
(100, '7', '2010', '2010Q7', '7_6Z0RGzRtM?start=10', 'further-integration'),
(101, '3', '2010', '2010Q3', 'Lr1J2m2e1vQ?start=285', 'further-integration'),
(102, '16', '2011', '2011Q16', 'zqqK1SCdzx0?start=765', 'further-integration'),
(103, '11', '2011', '2011Q11', 'RvdPRAU_Irg?start=542', 'further-integration'),
(104, '1', '2011', '2011Q1', 'avhupPO6XlY?start=8', 'further-integration'),
